,INSAP,IM,MBAP,NME,NMK,MH
Artefact1_PC1,-0.030543916,-0.033248168,-0.032322081,-0.029652504,-0.025912388,-0.0316274
Artefact1_PC2,0.033687263,0.032810516,0.037657091,0.036641969,0.04263735,0.037420333
Artefact1_PC3,-0.024432614,-0.023293582,-0.027847311,-0.023285885,-0.020721846,-0.021065635
Artefact2_PC1,0.030262169,0.029457118,0.028886015,0.031396708,0.034809295,0.029668874
Artefact2_PC2,0.036351352,0.043654472,0.042582726,0.040350244,0.047121569,0.044705908
Artefact2_PC3,0.03696364,0.037022897,0.038853404,0.035710086,0.04772424,0.038172995
Artefact3_PC1,-0.134939945,-0.133065027,-0.132858443,-0.132463054,-0.138321211,-0.136469275
Artefact3_PC2,-0.105679973,-0.110288101,-0.107406952,-0.111625808,-0.102941788,-0.10273874
Artefact3_PC3,0.005101123,0.008903994,0.007745539,0.009744856,0.005906209,0.005832254
Artefact4_PC1,0.166524691,0.167848883,0.169265061,0.171044286,0.170397428,0.170452563
Artefact4_PC2,-0.080836963,-0.081263151,-0.079970437,-0.085203705,-0.076516174,-0.079614923
Artefact4_PC3,-0.011965424,-0.010628339,-0.011442659,-0.015953686,-0.014023826,-0.009783466
Artefact5_PC1,-0.036550804,-0.031757288,-0.032927394,-0.032326157,-0.03158362,-0.033317333
Artefact5_PC2,0.023689395,0.025914633,0.026761373,0.023553935,0.025738964,0.026850931
Artefact5_PC3,-0.023343951,-0.019999005,-0.020273302,-0.02578948,-0.022565716,-0.023820233
Artefact6_PC1,-0.01067949,-0.010588955,-0.004326391,-0.008979586,-0.007392226,-0.004595676
Artefact6_PC2,0.072160694,0.073822377,0.07910916,0.071408912,0.070494319,0.080002054
Artefact6_PC3,-0.005655564,-0.005020064,0.003149959,-0.011600638,-0.005446591,0.003396457
