,INSAP,IM,MBAP,NME,NMK,MH
Artefact1_Length,86.4,86.5,86,86.2,86.2,86.3
Artefact1_Width,41,40.9,40.7,40.9,40.9,40.8
Artefact1_Thickness,13.5,13.3,13.6,13,13,13.3
Artefact2_Length,67.7,67.6,67.6,67.7,67.5,67.5
Artefact2_Width,37.3,37.6,37.3,37.7,37.8,37.3
Artefact2_Thickness,10.4,10.3,10.4,10.5,10.4,10.3
Artefact3_Length,66.2,66.2,66.3,66.3,66.1,66.5
Artefact3_Width,23.3,23.3,23,23,23.5,23.5
Artefact3_Thickness,6.6,6.7,6.7,6.8,6.7,6.8
Artefact4_Length,74.2,74.8,74.2,74.3,74.2,74.8
Artefact4_Width,48.6,48.4,48.3,48.5,48.5,48.5
Artefact4_Thickness,11.8,11.6,11.7,11.9,11.7,11.8
Artefact5_Length,59.6,59.8,59.7,59.8,59.7,59.7
Artefact5_Width,27.7,27.6,27.7,27.7,27.5,27.6
Artefact5_Thickness,9.4,9.5,9.7,9.4,9.3,9.6
Artefact6_Length,87.5,87.4,87.4,87.3,87.4,87.4
Artefact6_Width,44.7,44.7,44.7,44.5,44.4,44.6
Artefact6_Thickness,14.2,14.2,14.3,14,14.3,14.3
