,INSAP,IM,MBAP,NME,NMK,MH
Artefact1_PC1,-0.037649205,-0.045599928,-0.029355038,-0.03027316,-0.031534782,-0.030546782
Artefact1_PC2,0.030945496,0.027148976,0.045180656,0.042198446,0.043734131,0.040841982
Artefact1_PC3,0.004730851,0.010477308,-0.029579847,-0.022171645,-0.024774182,-0.016040699
Artefact2_PC1,0.033907506,0.034903294,0.031523649,0.030639218,0.039362191,0.03181678
Artefact2_PC2,0.0447885,0.045294467,0.042438851,0.040119393,0.043669998,0.043380616
Artefact2_PC3,0.036498051,0.036003117,0.045483548,0.038278171,0.043752394,0.037116253
Artefact3_PC1,-0.133347136,-0.132320739,-0.135890202,-0.134021391,-0.133202321,-0.134881722
Artefact3_PC2,-0.106834327,-0.114506935,-0.104657465,-0.108886519,-0.110928594,-0.112530131
Artefact3_PC3,0.009699788,0.007025313,-0.002777178,0.005537588,0.010701629,0.005791247
Artefact4_PC1,0.167201089,0.172726999,0.16834333,0.168309067,0.18301943,0.169263349
Artefact4_PC2,-0.080782184,-0.082924178,-0.076248688,-0.079236506,-0.07226116,-0.079478402
Artefact4_PC3,-0.022476113,0.000631899,-0.019679342,-0.00787488,0.008257778,-0.010733619
Artefact5_PC1,-0.031140193,-0.029645273,-0.032107935,-0.029796278,-0.028020826,-0.028807337
Artefact5_PC2,0.02590661,0.033408222,0.029123365,0.028183542,0.030696629,0.030085717
Artefact5_PC3,-0.014014126,-0.017492957,-0.015373837,-0.015250078,-0.012635786,-0.014670506
Artefact6_PC1,-0.0113818,-0.010020472,-0.010708092,-0.008726337,0.008115347,-0.010154302
Artefact6_PC2,0.07807012,0.074795915,0.078185321,0.079128186,0.076006691,0.075943258
Artefact6_PC3,-0.01236846,-0.024562871,-0.006776392,-0.007134384,-0.000529805,-0.003068229
